condition,field,applicable_questions,mean_score,median_score,score_0_count,score_1_count,score_2_count
P0,formula_integration,17,1.0,1,3,11,3
P1,formula_integration,17,1.2352941176470589,1,1,11,5
P2,formula_integration,17,1.2352941176470589,1,2,9,6
P3,formula_integration,17,1.0,1,3,11,3
M1,formula_integration,17,1.7647058823529411,2,0,4,13
M2,formula_integration,17,1.2941176470588236,2,6,0,11
M3,formula_integration,17,2.0,2,0,0,17
P0,calculation_correctness,20,0.2,0.0,18,0,2
P1,calculation_correctness,20,0.4,0.0,15,2,3
P2,calculation_correctness,20,0.45,0.0,15,1,4
P3,calculation_correctness,20,0.2,0.0,18,0,2
M1,calculation_correctness,20,1.25,1.5,5,5,10
M2,calculation_correctness,20,1.1,2.0,9,0,11
M3,calculation_correctness,20,2.0,2.0,0,0,20
P0,unit_correctness,18,1.3333333333333333,2.0,5,2,11
P1,unit_correctness,18,1.3888888888888888,2.0,4,3,11
P2,unit_correctness,18,1.1666666666666667,1.0,5,5,8
P3,unit_correctness,18,1.1666666666666667,1.5,6,3,9
M1,unit_correctness,18,1.8888888888888888,2.0,0,2,16
M2,unit_correctness,18,1.1111111111111112,2.0,8,0,10
M3,unit_correctness,18,2.0,2.0,0,0,18
P0,explanation_clarity,20,0.4,0.0,15,2,3
P1,explanation_clarity,20,0.6,0.0,13,2,5
P2,explanation_clarity,20,0.55,0.0,13,3,4
P3,explanation_clarity,20,0.25,0.0,17,1,2
M1,explanation_clarity,20,1.4,2.0,5,2,13
M2,explanation_clarity,20,1.1,2.0,9,0,11
M3,explanation_clarity,20,2.0,2.0,0,0,20
P0,task_adaptability,20,1.15,1.0,0,17,3
P1,task_adaptability,20,1.25,1.0,0,15,5
P2,task_adaptability,20,1.25,1.0,0,15,5
P3,task_adaptability,20,1.15,1.0,0,17,3
M1,task_adaptability,20,1.6,2.0,0,8,12
M2,task_adaptability,20,1.1,2.0,9,0,11
M3,task_adaptability,20,2.0,2.0,0,0,20
